seq	trim_left	trim_right	primer_type
S-0614_oECA1271_ssu_pcr_1	37	200	ssu_pcr_1
S-0641_oECA1271_ssu_pcr_1	42	433	ssu_pcr_1
S-0613_oECA1271_ssu_pcr_1	83	194	ssu_pcr_1
S-0584_oECA1271_ssu_pcr_1	73	218	ssu_pcr_1
S-0606_oECA1271_ssu_pcr_1	35	3	ssu_pcr_1
S-0653_oECA1271_ssu_pcr_1	78	90	ssu_pcr_1
S-0601_oECA1271_ssu_pcr_1	41	236	ssu_pcr_1
S-0654_oECA1271_ssu_pcr_1	25	15	ssu_pcr_1
S-0569_oECA1271_ssu_pcr_1	25	4	ssu_pcr_1
S-0596_oECA1271_ssu_pcr_1	40	409	ssu_pcr_1
S-0591_oECA1271_ssu_pcr_1	61	219	ssu_pcr_1
S-0637_oECA1271_ssu_pcr_1	39	130	ssu_pcr_1
S-0558_oECA1271_ssu_pcr_1	38	16	ssu_pcr_1
S-0485_oECA1271_ssu_pcr_1	63	92	ssu_pcr_1
S-0482_oECA1271_ssu_pcr_1	28	260	ssu_pcr_1
S-0628_oECA1271_ssu_pcr_1	41	444	ssu_pcr_1
S-0512_oECA1271_ssu_pcr_1	35	5	ssu_pcr_1
S-0540_oECA1271_ssu_pcr_1	43	61	ssu_pcr_1
S-0515_oECA1271_ssu_pcr_1	38	14	ssu_pcr_1
S-0555_oECA1271_ssu_pcr_1	18	269	ssu_pcr_1
S-0500_oECA1271_ssu_pcr_1	27	306	ssu_pcr_1
S-0552_oECA1271_ssu_pcr_1	31	161	ssu_pcr_1
S-0659_oECA1271_ssu_pcr_1	37	84	ssu_pcr_1
S-0536_oECA1271_ssu_pcr_1	43	45	ssu_pcr_1
S-0619_oECA1271_ssu_pcr_1	27	257	ssu_pcr_1
S-0576_oECA1271_ssu_pcr_1	41	246	ssu_pcr_1
S-0506_oECA1271_ssu_pcr_1	38	60	ssu_pcr_1
S-0501_oECA1271_ssu_pcr_1	60	87	ssu_pcr_1
S-0554_oECA1271_ssu_pcr_1	28	282	ssu_pcr_1
S-0489_oECA1271_ssu_pcr_1	32	111	ssu_pcr_1
S-0514_oECA1271_ssu_pcr_1	29	106	ssu_pcr_1
S-0513_oECA1271_ssu_pcr_1	47	4	ssu_pcr_1
S-0570_oECA1271_ssu_pcr_1	45	391	ssu_pcr_1
S-0577_oECA1271_ssu_pcr_1	41	264	ssu_pcr_1
S-0658_oECA1271_ssu_pcr_1	47	129	ssu_pcr_1
S-0562_oECA1271_ssu_pcr_1	30	152	ssu_pcr_1
S-0415_oECA1271_ssu_pcr_1	35	4	ssu_pcr_1
S-0530_oECA1271_ssu_pcr_1	32	80	ssu_pcr_1
S-0503_oECA1271_ssu_pcr_1	27	264	ssu_pcr_1
S-0551_oECA1271_ssu_pcr_1	33	27	ssu_pcr_1
S-0511_oECA1271_ssu_pcr_1	38	111	ssu_pcr_1
S-0499_oECA1271_ssu_pcr_1	54	385	ssu_pcr_1
S-0575_oECA1271_ssu_pcr_1	269	106	ssu_pcr_1
S-0402_oECA1271_ssu_pcr_1	28	183	ssu_pcr_1
S-0567_oECA1271_ssu_pcr_1	29	6	ssu_pcr_1
S-0417_oECA1271_ssu_pcr_1	39	25	ssu_pcr_1
S-0535_oECA1271_ssu_pcr_1	19	94	ssu_pcr_1
S-0608_oECA1271_ssu_pcr_1	26	18	ssu_pcr_1
S-0517_oECA1271_ssu_pcr_1	38	270	ssu_pcr_1
S-0505_oECA1271_ssu_pcr_1	31	3	ssu_pcr_1
S-0550_oECA1271_ssu_pcr_1	41	285	ssu_pcr_1
S-0502_oECA1271_ssu_pcr_1	35	7	ssu_pcr_1
S-0557_oECA1271_ssu_pcr_1	31	211	ssu_pcr_1
S-0638_oECA1271_ssu_pcr_1	47	244	ssu_pcr_1
S-0534_oECA1271_ssu_pcr_1	27	27	ssu_pcr_1
S-0561_oECA1271_ssu_pcr_1	82	223	ssu_pcr_1
S-0599_oECA1271_ssu_pcr_1	12	23	ssu_pcr_1
S-0533_oECA1271_ssu_pcr_1	44	52	ssu_pcr_1
S-0566_oECA1271_ssu_pcr_1	28	18	ssu_pcr_1
S-0609_oECA1271_ssu_pcr_1	35	177	ssu_pcr_1
S-0404_oECA1271_ssu_pcr_1	29	66	ssu_pcr_1
S-0403_oECA1271_ssu_pcr_1	8	338	ssu_pcr_1
S-0574_oECA1271_ssu_pcr_1	60	330	ssu_pcr_1
S-0611_oECA1271_ssu_pcr_1	31	130	ssu_pcr_1
S-0616_oECA1271_ssu_pcr_1	36	231	ssu_pcr_1
S-0593_oECA1271_ssu_pcr_1	503	137	ssu_pcr_1
S-0656_oECA1271_ssu_pcr_1	46	8	ssu_pcr_1
S-0603_oECA1271_ssu_pcr_1	32	265	ssu_pcr_1
S-0651_oECA1271_ssu_pcr_1	77	90	ssu_pcr_1
S-0604_oECA1271_ssu_pcr_1	71	310	ssu_pcr_1
S-0632_oECA1271_ssu_pcr_1	19	13	ssu_pcr_1
S-0660_oECA1271_ssu_pcr_1	25	3	ssu_pcr_1
S-0635_oECA1271_ssu_pcr_1	32	157	ssu_pcr_1
S-0627_oECA1271_ssu_pcr_1	26	5	ssu_pcr_1
S-0595_oECA1271_ssu_pcr_1	25	87	ssu_pcr_1
